DIRECCIÓN MODBUS, REGISTRO, DESCRIPCIÓN                                                 ,R/W, ACCESO, Observaciones 
0, HR_NUM_SERIE_LO      , Número de serie del dispositivo (1/2 registros)               ,R  ,16 bits
1, HR_NUM_SERIE_HI      , Número de serie del dispositivo (2/2 registros)               ,R  ,16 bits
2, HR_HW_SET_LO         , Configuración del hardware presente. (1/2 registros)          ,R  ,16 bits, BIT 0: DI0: Entrada digital 1- BIT 1: DI1: Entrada digital 2- BIT 2: DI2: Entrada digital 3- BIT 3: DI3: Entrada digital 4- BIT 4: DI4: Entrada digital 5- BIT 5: DI5: Entrada digital 6- BIT 6: DI6: Entrada digital 7- BIT 7: DI7: Entrada digital 8. BIT 8: DO0: Salida digital 1- BIT 9: DO1: Salida digital 2- BIT10: DO2: Salida digital 3- BIT11: DO3: Salida digital 4- BIT12: DO4: Salida digital 5- BIT13: DO5: Salida digital 6- BIT14: DO6: Salida digital 7- BIT15: DO7: Salida digital 8
3, HR_HW_SET_HI         , Configuración del hardware presente. (2/2 registros)          ,R  ,16 bits, BIT16: DO0_Relay: Salida de relé 1- BIT17: DO1_Relay: Salida de relé 2- BIT18: DO2_Relay: Salida de relé 3- BIT19: DO3_Relay: Salida de relé 4- BIT20: DO4_Relay: Salida de relé 5- BIT21: DO5_Relay: Salida de relé 6- BIT22: DO6_Relay: Salida de relé 7- BIT23: DO7_Relay: Salida de relé 8. BIT24: AO0: Salida analógica 1- BIT25: AO1: Salida analógica 2. BIT26: AI0: Entrada analógica 1- BIT27: AI1: Entrada analógica 2. BIT28: Ethernet: Interfaz Ethernet- BIT29: CAN: Interfaz CAN- BIT30: RS485: Interfaz RS485- BIT31: b31: Reservado. 
4, HR_ETH_MAC0          , Dirección MAC de la interfaz Ethernet: 6H:6L:5H:5L:4H:4L      ,R  ,16 bits
5, HR_ETH_MAC1          , Dirección MAC de la interfaz Ethernet: 6H:6L:5H:5L:4H:4L      ,R  ,16 bits
6, HR_ETH_MAC2          , Dirección MAC de la interfaz Ethernet: 6H:6L:5H:5L:4H:4L      ,R  ,16 bits
7, HR_TS_CALIB0         , Fecha de la última calibración (Unix Timestamp- UTC).         ,R  ,16 bits
8, HR_TS_CALIB1         , Fecha de la última calibración (Unix Timestamp- UTC).         ,R  ,16 bits
9, HR_TS_CALIB2         , Fecha de la última calibración (Unix Timestamp- UTC).         ,R  ,16 bits
10, HR_TS_CALIB3        , Fecha de la última calibración (Unix Timestamp- UTC).         ,R  ,16 bits
11, HR_VERSAO_FW        , Versión de firmware.                                          ,R  ,16 bits
12, HR_ID               , Código de identificación: 0x0300 (hexadecimal).               ,R  ,16 bits
14, HR_AI1_LO           , Valor leído de la entrada A1.                                 ,R  ,16 bits, Los sensores de temperatura tienen un decimal fijo. Los sensores lineales respetan el rango configurado por el usuario.
15, HR_AI1_HI           , Valor leído de la entrada A1.                                 ,R  ,16 bits
16, HR_AI2_LO           , Valor leído de la entrada A2.                                 ,R  ,16 bits, Los sensores de temperatura tienen un decimal fijo. Los sensores lineales respetan el rango configurado por el usuario.
17, HR_AI2_HI           , Valor leído de la entrada A2.                                 ,R  ,16 bits
18, HR_AO1_LO           , Valor actual de la salida O1.                                 ,R  ,16 bits
19, HR_AO1_HI           , Valor actual de la salida O1.                                 ,R  ,16 bits
20, HR_AO2_LO           , Valor actual de la salida O2.                                 ,R  ,16 bits
21, HR_AO2_HI           , Valor actual de la salida O2.                                 ,R  ,16 bits
22, HR_COUNTER1_LO      , Valor actual del contador de la entrada D1.                   ,R  ,16 bits
